# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9132848076237874,0.6,180.0,0,-3.0,0,0.0,0.0,0.0
 0.08953923593558653,1.9253107197816803,0.6,180.0,-0.26861770780675964,-3.0000000000000004,0,0.0,0.0,0.0
 0.12676357950568012,1.9373883152574267,0.6,180.0,-0.38029073851704037,-2.9999999999999987,0,0.0,0.0,0.0
 0.1554189497891421,1.9495173825541272,0.6,180.0,-0.46625684936742634,-3.0,0,0.0,0.0,0.0
 0.179653189137841,1.9616977101748827,0.6,180.0,-0.538959567413523,-3.0,0,0.0,0.0,0.0
 0.20107093109813545,1.973929086622794,0.6,180.0,-0.6032127932944064,-3.0,0,0.0,0.0,0.0
 0.22049413110432198,1.9862113004009623,0.6,180.0,-0.6614823933129659,-2.9999999999999973,0,0.0,0.0,0.0
 0.23841047570482346,1.9985441400124877,0.6,180.0,-0.7152314271144703,-2.9999999999999987,0,0.0,0.0,0.0
 0.25513733078048323,2.010927393960472,0.6,180.0,-0.7654119923414496,-3.0000000000000018,0,0.0,0.0,0.0
 0.2708948665986218,2.023360850748015,0.6,180.0,-0.8126845997958653,-3.0,0,0.0,0.0,0.0
 0.28584318691015564,2.0358442988782186,0.6,180.0,-0.8575295607304669,-3.0000000000000036,0,0.0,0.0,0.0
 0.30010300368417453,2.048377526854183,0.6,180.0,-0.9003090110525235,-2.999999999999992,0,0.0,0.0,0.0
 0.31376797749847074,2.0609603231790086,0.6,180.0,-0.941303932495412,-2.999999999999992,0,0.0,0.0,0.0
 0.3269124946444744,2.0735924763557976,0.6,180.0,-0.9807374839334231,-3.0000000000000044,0,0.0,0.0,0.0
 0.3395967876407378,2.08627377488765,0.6,180.0,-1.0187903629222133,-3.0,0,0.0,0.0,0.0
 0.35187043037068727,2.0990040072776663,0.6,180.0,-1.0556112911120616,-3.0,0,0.0,0.0,0.0
 0.36377479700602405,2.1117829620289483,0.6,180.0,-1.0913243910180719,-2.9999999999999907,0,0.0,0.0,0.0
 0.37534483702395455,2.124610427644596,0.6,180.0,-1.1260345110718635,-3.0000000000000098,0,0.0,0.0,0.0
 0.3866103852751706,2.137486192627711,0.6,180.0,-1.1598311558255117,-3.0,0,0.0,0.0,0.0
 0.3975971477577158,2.1504100454813937,0.6,180.0,-1.1927914432731472,-2.999999999999995,0,0.0,0.0,0.0
 0.40832745608147814,2.1633817747087445,0.6,180.0,-1.224982368244434,-2.99999999999999,0,0.0,0.0,0.0
 0.4188208536586802,2.1764011688128657,0.6,180.0,-1.2564625609760403,-2.9999999999999947,0,0.0,0.0,0.0
 0.42909455731269674,2.189468016296856,0.6,180.0,-1.2872836719380898,-2.9999999999999947,0,0.0,0.0,0.0
 0.4391638251951322,2.202582105663818,0.6,180.0,-1.3174914755853961,-3.0,0,0.0,0.0,0.0
 0.44904225324057967,2.2157432254168525,0.6,180.0,-1.3471267597217385,-2.999999999999989,0,0.0,0.0,0.0
 0.4587420164139262,2.2289511640590596,0.6,180.0,-1.376226049241778,-2.9999999999999885,0,0.0,0.0,0.0
 0.46827406680970707,2.24220571009354,0.6,180.0,-1.4048222004291206,-3.0000000000000115,0,0.0,0.0,0.0
 0.47764829766932637,2.2555066520233953,0.6,180.0,-1.4329448930079784,-2.999999999999988,0,0.0,0.0,0.0
 0.4868736802141726,2.2688537783517257,0.6,180.0,-1.460621040642517,-2.999999999999994,0,0.0,0.0,0.0
 0.49595837860170333,2.282246877581633,0.6,180.0,-1.4878751358051094,-3.000000000000018,0,0.0,0.0,0.0
 0.5049098471294519,2.295685738216217,0.6,180.0,-1.514729541388355,-3.0,0,0.0,0.0,0.0
 0.5137349129235113,2.3091701487585787,0.6,180.0,-1.5412047387705334,-3.0000000000000253,0,0.0,0.0,0.0
 0.5224398466733003,2.3226998977118196,0.6,180.0,-1.5673195400199007,-3.0,0,0.0,0.0,0.0
 0.5310304234569194,2.33627477357904,0.6,180.0,-1.5930912703707576,-2.9999999999999614,0,0.0,0.0,0.0
 0.53951197530086,2.349894564863341,0.6,180.0,-1.6185359259025796,-3.000000000000013,0,0.0,0.0,0.0
 0.5478894368051739,2.363559060067823,0.6,180.0,-1.643668310415521,-2.9999999999999867,0,0.0,0.0,0.0
 0.556167384919205,2.377268047695588,0.6,180.0,-1.6685021547576142,-2.9999999999999734,0,0.0,0.0,0.0
 0.5643500737579752,2.391021316249735,0.6,180.0,-1.6930502212739247,-3.0,0,0.0,0.0,0.0
 0.5724414651936502,2.4048186542333667,0.6,180.0,-1.7173243955809498,-3.0,0,0.0,0.0,0.0
 0.5804452558314155,2.418659850149583,0.6,180.0,-1.7413357674942453,-2.9999999999999725,0,0.0,0.0,0.0
 0.5883649008779603,2.432544692501485,0.6,180.0,-1.7650947026338797,-2.999999999999972,0,0.0,0.0,0.0
 0.5962036353285043,2.446472969792173,0.6,180.0,-1.7886109059855115,-3.0,0,0.0,0.0,0.0
 0.6039644928310283,2.460444470524749,0.6,180.0,-1.8118934784930834,-2.999999999999986,0,0.0,0.0,0.0
 0.6116503225310607,2.4744589832023127,0.6,180.0,-1.8349509675931803,-2.999999999999971,0,0.0,0.0,0.0
 0.6192638041546745,2.4885162963279654,0.6,180.0,-1.8577914124640218,-2.9999999999999853,0,0.0,0.0,0.0
