# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9132848076237874,4.937409883691356,-179.9994092476698,0,-3.0,-0.0016909560617164514,0.0,0.0,0.0
 0.08953923593796623,1.9253107197816803,4.937410007685404,-179.9994092476698,-0.26861770781389865,-2.9999999999999996,-0.0016909560617164514,0.0,0.03136736354707441,0.0
 0.12676357952231704,1.9373883152574267,4.937410378341408,-179.99824161815178,-0.38029073856695106,-2.999999999999999,-0.0016559220963147157,0.0,0.04007392064790363,0.0
 0.15541894983618748,1.9495173825541272,4.937410993670159,-179.99709328511568,-0.46625684950856233,-2.9999999999999982,-0.0016216531222505897,0.0,0.046601049650012154,0.0
 0.17965318923461168,1.9616977101748827,4.937411851682449,-179.99596394412225,-0.5389595677038349,-2.9999999999999987,-0.0015881230046103634,0.0,0.0518563676797067,0.0
 0.20107093126640474,1.973929086622794,4.937412950389065,-179.9948532978166,-0.6032127937992141,-3.0000000000000013,-0.0015553151840256804,0.0,0.05623389095811705,0.0
 0.22049413136784773,1.9862113004009623,4.937414287800801,-179.99376105570002,-0.661482394103543,-2.9999999999999973,-0.0015232132775488524,0.0,0.05995205586374443,0.0
 0.23841047608900146,1.9985441400124877,4.937415861928447,-179.99268693400043,-0.7152314282670041,-2.999999999999997,-0.0014917862695698464,0.0,0.06314866423426135,0.0
 0.25513733131207694,2.010927393960472,4.937417670782795,-179.99163065543627,-0.7654119939362306,-3.0,-0.0014610176792203642,0.0,0.06591807035196255,0.0
 0.27089486730554346,2.023360850748015,4.9374197123746315,-179.99059194907005,-0.8126846019166302,-3.0,-0.0014308961372609921,0.0,0.06832867809132293,0.0
 0.2858431878212839,2.0358442988782186,4.93742198471475,-179.98957055008952,-0.8575295634638515,-3.0000000000000036,-0.0014014054660990778,0.0,0.0704322082065238,0.0
 0.30010300482919905,2.048377526854183,4.937424485813942,-179.98856619968905,-0.9003090144875969,-2.999999999999996,-0.0013725193334878567,0.0,0.07226905728585474,0.0
 0.3137679789077585,2.0609603231790086,4.937427213682995,-179.98757864489454,-0.9413039367232752,-2.999999999999996,-0.0013442213741095255,0.0,0.07387160014736824,0.0
 0.3269124963489524,2.0735924763557976,4.937430166332705,-179.986607638358,-0.980737489046857,-3.0,-0.0013165056208259767,0.0,0.07526631678296553,0.0
 0.3395967896717898,2.08627377488765,4.937433341773856,-179.9856529383186,-1.0187903690153692,-3.000000000000009,-0.0012893507264945825,0.0,0.07647525853034802,0.0
 0.3518704327600618,2.0990040072776663,4.937436738017244,-179.9847143082903,-1.055611298280185,-2.9999999999999862,-0.0012627351110306812,0.0,0.07751703216711711,0.0
 0.363774799785752,2.1117829620289483,4.937440353073658,-179.98379151708863,-1.0913243993572557,-3.0,-0.0012366636623382613,0.0,0.07840754793165983,0.0
 0.3753448402262751,2.124610427644596,4.937444184953888,-179.98288433858826,-1.126034520678825,-2.9999999999999902,-0.0012111042041105015,0.0,0.07916054493554533,0.0
 0.38661038893246413,2.137486192627711,4.937448231668724,-179.98199255161367,-1.159831166797392,-3.0,-0.0011860456372205395,0.0,0.07978799666444085,0.0
 0.39759715190244305,2.1504100454813937,4.937452491228959,-179.98111593980644,-1.1927914557073287,-3.0,-0.0011614769346108584,0.0,0.08030041628945207,0.0
 0.4083274607461246,2.1633817747087445,4.937456961645382,-179.9802542915394,-1.2249823822383734,-3.00000000000001,-0.001137392685340465,0.0,0.08070710752610527,0.0
 0.41882085887570564,2.1764011688128657,4.937461640928785,-179.97940739972825,-1.2564625766271167,-3.0000000000000107,-0.0011137708974821108,0.0,0.0810163434231775,0.0
 0.4290945631144888,2.189468016296856,4.937466527089956,-179.9785750617774,-1.2872836893434663,-3.0000000000000107,-0.0010906004990614369,0.0,0.08123552990400464,0.0
 0.43916383161396383,2.202582105663818,4.937471618139689,-179.97775707941508,-1.3174914948418914,-3.0000000000000053,-0.001067870419624736,0.0,0.08137132025526506,0.0
 0.4490422603085701,2.2157432254168525,4.937476912088773,-179.97695325863018,-1.3471267809257101,-2.9999999999999942,-0.0010455811557982706,0.0,0.08142972549335863,0.0
 0.4587420241630048,2.2289511640590596,4.937482406947998,-179.97616340952214,-1.3762260724890143,-3.0,-0.0010236985466070018,0.0,0.08141619134290354,0.0
 0.4682740752715805,2.24220571009354,4.937488100728157,-179.9753873462252,-1.4048222258147414,-3.0,-0.0010022347159562737,0.0,0.08133567102856072,0.0
 0.47764830687544785,2.2555066520233953,4.9374939914400375,-179.9746248868073,-1.4329449206263434,-2.9999999999999942,-0.0009811668515157363,0.0,0.08119268706923358,0.0
 0.48687369019571375,2.2688537783517257,4.937500077094433,-179.97387585314632,-1.460621070587141,-2.999999999999988,-0.0009604836352711551,0.0,0.08099137346132039,0.0
 0.49595838938952824,2.282246877581633,4.937506355702132,-179.97314007088113,-1.4878751681685844,-3.0,-0.0009401858666494017,0.0,0.08073553024384106,0.0
 0.504909858754093,2.295685738216217,4.937512825273927,-179.97241736925554,-1.5147295762622788,-3.000000000000006,-0.0009202500410217184,0.0,0.0804286433430981,0.0
 0.5137349254151474,2.3091701487585787,4.937519483820608,-179.97170758111656,-1.5412047762454422,-3.0000000000000124,-0.0009006832205336084,0.0,0.08007393679931075,0.0
