# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.894566222277458,2.1912696737200257,179.9997086321372,0,-3.0,0.0008599471629058832,0.0,0.0,0.0
 0.08926510376760362,1.906518610403265,2.191269612938205,179.9997086321372,-0.2677953113028108,-2.9999999999999996,0.0008599471629058832,0.0,-0.015972360893214004,0.0
 0.12598958084614492,1.9183762839985923,2.191269431242817,179.99912205553568,-0.3779687425384347,-2.9999999999999996,0.0008736130003916847,0.0,-0.021105987847902522,0.0
 0.15399953380503953,1.9301400068902985,2.191269129608971,179.9985308778089,-0.4619986014151185,-2.999999999999999,0.000887439098488,0.0,-0.025382114829944322,0.0
 0.17747172665108596,1.941810542905242,2.191268709011776,179.99793510391478,-0.5324151799532577,-2.9999999999999964,0.0009014069288048713,0.0,-0.029206312393231543,0.0
 0.19802766409156597,1.9533886558702815,2.1912681704263415,179.99733474078437,-0.5940829922746977,-3.0,0.0009155367921619076,0.0,-0.03274721430905755,0.0
 0.21650078888085264,1.9648751096122763,2.1912675148277763,179.9967297974079,-0.6495023666425578,-3.0000000000000013,0.0009298097182960959,0.0,-0.036094642906781244,0.0
 0.2333872972135667,1.9762706679580844,2.1912667431911914,179.9961202849197,-0.7001618916407,-2.9999999999999982,0.0009442261070202461,0.0,-0.039303109804530896,0.0
 0.2490112079970613,1.9875760947345649,2.191265856491695,179.99550621663863,-0.7470336239911838,-3.0000000000000018,0.000958796419197875,0.0,-0.04240853735535922,0.0
 0.2635980926093034,1.9987921537685764,2.191264855704396,179.99488760819764,-0.79079427782791,-2.9999999999999982,0.000973500713705028,0.0,-0.045435992266199335,0.0
 0.27731256350316863,2.0099196088869777,2.1912637418044056,179.99426447760416,-0.8319376905095057,-3.0,0.0009883388915326171,0.0,-0.048403713180097147,0.0
 0.2902791781633435,2.020959223916628,2.1912625157668324,179.99363684530726,-0.8708375344900302,-2.9999999999999956,0.0010033107593656258,0.0,-0.051325393934826144,0.0
 0.3025949336017437,2.0319117626843846,2.1912611785667853,179.99300473430776,-0.9077848008052309,-3.0,0.001018395035047587,0.0,-0.054211570276084614,0.0
 0.31433715146986657,2.0427779890171074,2.1912597311793736,179.9923681702386,-0.9430114544095995,-3.000000000000005,0.0010336225322748794,0.0,-0.05707050147249698,0.0
 0.3255686768596445,2.053558666741655,2.1912581745797075,179.9917271814523,-0.9767060305789333,-2.999999999999995,0.001048960976622892,0.0,-0.05990875665635536,0.0
 0.3363414317832477,2.0642545596848856,2.1912565097428964,179.99108179909908,-1.009024295349743,-3.00000000000001,0.0010644199580205742,0.0,-0.0627316142584691,0.0
 0.3466989186001244,2.0748664316736583,2.1912547376440497,179.99043205723137,-1.0400967558003733,-3.000000000000016,0.0010799658068807736,0.0,-0.06554334758667818,0.0
 0.3566780296630526,2.0853950465348317,2.1912528592582756,179.9897779928864,-1.070034088989158,-3.0000000000000058,0.0010956403899868342,0.0,-0.06834742636202511,0.0
 0.36631038479706346,2.0958411680952644,2.1912508755606854,179.9891196462032,-1.0989311543911904,-2.9999999999999885,0.0011113983807278767,0.0,-0.07114667565600666,0.0
 0.375623339097506,2.1062055601818153,2.1912487875263866,179.98845706046413,-1.126870017292518,-2.999999999999988,0.0011272262248677185,0.0,-0.07394337631929025,0.0
 0.3846407553247237,2.116488986621343,2.1912465961304903,179.98779028226264,-1.153922265974171,-3.000000000000006,0.0011431662472779847,0.0,-0.07673936638348468,0.0
 0.39338360486286694,2.1266922112407065,2.1912443023481054,179.9871193615287,-1.1801508145886006,-2.999999999999981,0.0011591596878115415,0.0,-0.07953609548133932,0.0
 0.4018704416199781,2.1368159978667642,2.1912419071543408,179.98644435167003,-1.205611324859934,-3.0,0.001175237546488335,0.0,-0.08233468229669867,0.0
 0.41011778027080226,2.146861110326375,2.191239411524306,179.98576530966244,-1.2303533408124065,-3.0,0.001191338948570137,0.0,-0.08513595625049834,0.0
 0.41814040145962944,2.156828312446397,2.191236816433111,179.98508229613591,-1.254421204378888,-2.999999999999993,0.0012075179679589727,0.0,-0.0879404871816777,0.0
 0.42595160051608627,2.1667183680536897,2.1912341228558647,179.9843953754854,-1.2778548015482585,-2.999999999999993,0.0012237358997236837,0.0,-0.09074861396785698,0.0
 0.43356339197526766,2.1765320409751117,2.191231331767677,179.98370461596068,-1.3006901759258027,-3.000000000000007,0.0012399763789617453,0.0,-0.09356046377046738,0.0
 0.4409866791504339,2.1862700950375205,2.1912284441436567,179.98301008976983,-1.3229600374513013,-2.9999999999999925,0.001256222322982795,0.0,-0.09637596799329029,0.0
 0.44823139580126586,2.195933294067777,2.191225460958914,179.9823118731898,-1.3446941874037972,-2.9999999999999925,0.0012724925820733115,0.0,-0.09919488144235497,0.0
 0.4553066253210147,2.205522401892738,2.191222383188557,179.9816100466364,-1.3659198759630435,-2.9999999999999845,0.0012887449855220412,0.0,-0.10201678370843918,0.0
 0.46222070166160084,2.215038182339263,2.191219211807697,179.98090469480584,-1.386662104984802,-3.0,0.0013049854966814473,0.0,-0.1048411013010632,0.0
 0.46898129530992305,2.224481399234211,2.191215947791442,179.9801959067223,-1.4069438859297687,-3.000000000000008,0.0013212203143942417,0.0,-0.1076671009648233,0.0
 0.47559548694023734,2.2338528164044402,2.1912125921149017,179.9794837758842,-1.4267864608207117,-3.000000000000017,0.0013373793794654698,0.0,-0.11049390785369795,0.0
